Parsing 105 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2014...
Parsing 163 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2011...
Parsing 92 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2017...
Parsing 125 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2009...
Parsing 127 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2013...
Parsing 129 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2015...
Parsing 147 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0/2008...
Parsing 0 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data/maestro-v2.0.0...
Parsing 0 midi files in /project/6049244/fenauxlu/bumblebee/pno_ai/data...

888 midis read, or 7058.2 minutes of music
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
***Unexpected note sequence...possible duplicate?
888 note sequences extracted

Processing training data...
799 note sequences
2,397 stretched note sequences
43,128 quantized, split samples
215,640 transposed samples
0 / 215,640 sequences encoded
50,000 / 215,640 sequences encoded
100,000 / 215,640 sequences encoded
150,000 / 215,640 sequences encoded
200,000 / 215,640 sequences encoded
15695 sequences discarded due to brevity
109595 sequences truncated due to excessive length.
Encoded training sequences!

Processing validation data...
89 note sequences
1,645 quantized, split samples
0 / 1,645 sequences encoded
109 sequences discarded due to brevity
820 sequences truncated due to excessive length.
Encoded validation sequences!

MIDI pipeline runtime:  16.7m
GPU is available
batch 100, loss:  4.87
accuracy:  0.02
batch 200, loss:  4.17
accuracy:  0.02
batch 300, loss:  4.13
accuracy:  0.02
batch 400, loss:  4.16
accuracy:  0.02
batch 500, loss:  4.11
accuracy:  0.02
batch 600, loss:  4.13
accuracy:  0.02
batch 700, loss:  4.14
accuracy:  0.02
batch 800, loss:  3.94
accuracy:  0.02
batch 900, loss:  3.93
accuracy:  0.02
batch 1000, loss:  4.01
accuracy:  0.02
batch 1100, loss:  4.03
accuracy:  0.02
batch 1200, loss:  3.95
accuracy:  0.02
batch 1300, loss:  3.92
accuracy:  0.02
batch 1400, loss:  3.91
accuracy:  0.02
batch 1500, loss:  3.95
accuracy:  0.02
batch 1600, loss:  3.98
accuracy:  0.03
batch 1700, loss:  3.94
accuracy:  0.03
batch 1800, loss:  3.88
accuracy:  0.03
batch 1900, loss:  3.90
accuracy:  0.02
batch 2000, loss:  3.81
accuracy:  0.02
batch 2100, loss:  3.89
accuracy:  0.03
batch 2200, loss:  3.83
accuracy:  0.03
batch 2300, loss:  3.78
accuracy:  0.03
batch 2400, loss:  3.80
accuracy:  0.02
batch 2500, loss:  3.79
accuracy:  0.03
batch 2600, loss:  3.84
accuracy:  0.03
batch 2700, loss:  3.80
accuracy:  0.03
batch 2800, loss:  3.81
accuracy:  0.03
batch 2900, loss:  3.83
accuracy:  0.03
batch 3000, loss:  3.86
accuracy:  0.03
batch 3100, loss:  3.79
accuracy:  0.03
batch 3200, loss:  3.85
accuracy:  0.03
batch 3300, loss:  3.77
accuracy:  0.03
batch 3400, loss:  3.68
accuracy:  0.03
batch 3500, loss:  3.71
accuracy:  0.03
batch 3600, loss:  3.78
accuracy:  0.03
batch 3700, loss:  3.76
accuracy:  0.03
